"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","threshold"
"43427_at",-1949.5416744186,1445.79647906977,-9.4496210270718,6.54317504324788e-15,8.78629090563795e-11,-4.21514218556165,"ACACB","Down"
"49452_at",-2645.65601860465,2374.59596744186,-9.40957960328921,7.88609334976255e-15,8.78629090563795e-11,-4.21676140098093,"ACACB","Down"
"203548_s_at",-3561.4558627907,2560.38565,-9.25303425200499,1.636615708105e-14,1.21562359412346e-10,-4.22316016133976,"LPL","Down"
"207092_at",-2439.53672093023,1635.74252790698,-9.11610508901778,3.10033676776494e-14,1.72712010490265e-10,-4.22884632514453,"LEP","Down"
"219140_s_at",-2910.60338372093,1756.58399651163,-9.03969832394092,4.4284881979041e-14,1.97360005027794e-10,-4.23205538295427,"RBP4","Down"
"209699_x_at",-4107.89393953488,3408.4834255814,-8.90466934905897,8.31584566807645e-14,3.08836648369579e-10,-4.2377897954658,"AKR1C2","Down"
"215695_s_at",-2692.13434418605,2080.53973488372,-8.74705436919074,1.73484753286233e-13,5.52251536782447e-10,-4.24458526042139,"GYG2","Down"
"203980_at",-5179.06234883721,5368.09138372093,-8.71334630100836,2.03021089417343e-13,5.65489866935832e-10,-4.2460527537978,"FABP4","Down"
"205382_s_at",-4092.26366046512,2848.98001860465,-8.65328124256811,2.68650766580366e-13,6.65149447967811e-10,-4.24868006079209,"CFD","Down"
"207175_at",-4117.25534883721,3796.40830232558,-8.6146417692863,3.21681067035244e-13,7.16801921674635e-10,-4.25037853688951,"ADIPOQ","Down"
"210964_s_at",-1752.2353255814,1271.05043023256,-8.58641593368584,3.66916888897251e-13,7.43273548663403e-10,-4.2516233814666,"GYG2","Down"
"205913_at",-3188.12220930232,2508.74273255814,-8.53503236827244,4.66196336276818e-13,8.65687746771361e-10,-4.25389846363158,"PLIN1","Down"
"204388_s_at",-1124.75342790698,981.903309302326,-8.50109491061795,5.46060784654292e-13,9.359901895732e-10,-4.25540738773447,"MAOA","Down"
"218087_s_at",-2470.96604883721,1870.22225465116,-8.47442305558476,6.18301719384881e-13,9.84115515218094e-10,-4.25659677453667,"SORBS1","Down"
"210201_x_at",-1094.5698372093,1246.01529069767,-8.35921451671995,1.05719395696178e-12,1.57049686286529e-09,-4.26176960318862,"BIN1","Down"
"219295_s_at",-2285.70115581395,1740.68093372093,-8.32211938017088,1.25636158538873e-12,1.67259777153124e-09,-4.26344730751093,"PCOLCE2","Down"
"209771_x_at",3195.3525116279,3276.16653488372,8.31877737395717,1.27604730583992e-12,1.67259777153124e-09,-4.26359874590136,"CD24","Up"
"203549_s_at",-3731.30534883721,4362.99313953488,-8.26575064313008,1.6329480568184e-12,1.97200791661765e-09,-4.26600795872594,"LPL","Down"
"204894_s_at",-1866.35923255814,1679.59936046512,-8.25945316112124,1.6814679538543e-12,1.97200791661765e-09,-4.26629487396172,"AOC3","Down"
"218168_s_at",-887.763434883721,748.62471744186,-8.20631125928284,2.15259674555422e-12,2.3253686433404e-09,-4.26872274059429,"COQ8A","Down"
"213524_s_at",-2971.27904651163,3178.22652325581,-8.20245859077608,2.19147967105634e-12,2.3253686433404e-09,-4.26889922060734,"G0S2","Down"
"212741_at",-2521.20119069767,1841.46626511628,-8.17918690521567,2.4417047748969e-12,2.47311397722853e-09,-4.26996656518471,"MAOA","Down"
"203571_s_at",-984.611190697675,707.750502325581,-8.16097871906852,2.65719564815662e-12,2.57436046208148e-09,-4.27080326780926,"ADIRF","Down"
"221009_s_at",-329.483376744186,261.714334883721,-8.1154629337775,3.28250712543522e-12,3.03885386217484e-09,-4.27290090764437,"ANGPTL4","Down"
"205220_at",-722.542953488372,700.814755813954,-8.10729237842137,3.40938592444334e-12,3.03885386217484e-09,-4.27327837555704,"HCAR3","Down"
"219398_at",-2918.4251627907,3287.78672093023,-8.02375035889696,5.02323978113606e-12,4.30510969396365e-09,-4.27715387740151,"CIDEC","Down"
"204151_x_at",-4485.93886046512,4535.65096511628,-7.98573624554935,5.99109214202611e-12,4.9216291914941e-09,-4.27892693305332,"AKR1C1","Down"
"205478_at",-1248.34541162791,774.051612790698,-7.97888491973874,6.18433861517008e-12,4.9216291914941e-09,-4.27924712705699,"PPP1R1A","Down"
"219738_s_at",-559.963704651163,502.338380232558,-7.9246834193816,7.94907297893227e-12,6.10790321343268e-09,-4.28178700987105,"PCDH9","Down"
"222317_at",-716.584564883721,416.152205930233,-7.91554278193998,8.29265381276073e-12,6.15950683032491e-09,-4.2822165256034,"PDE3B","Down"
"204570_at",-934.192790697675,742.174155813953,-7.84736091864064,1.13680914211772e-11,8.1714574560675e-09,-4.28543109521879,"COX7A1","Down"
"201839_s_at",1866.17520930233,1587.56337209302,7.83219469424599,1.21938089769522e-11,8.49108266979453e-09,-4.28614869659317,"EPCAM","Up"
"219064_at",-1567.68727906977,1571.2051744186,-7.81105314544215,1.34454644171035e-11,8.88843093310595e-09,-4.2871505707831,"ITIH5","Down"
"216379_x_at",2869.2831627907,3510.73981395349,7.80736623197936,1.36764943623167e-11,8.88843093310595e-09,-4.28732547341179,"CD24","Up"
"209496_at",-1438.41586511628,1141.23453488372,-7.80290877438935,1.39610951244764e-11,8.88843093310595e-09,-4.28753700253946,"RARRES2","Down"
"221748_s_at",-3169.02355813954,4025.47891860465,-7.79242102261123,1.46542064868356e-11,8.96168143263283e-09,-4.28803501407587,"TNS1","Down"
"202286_s_at",2752.39290232558,2352.42545581395,7.78910363542556,1.48805014139665e-11,8.96168143263283e-09,-4.28819263210653,"TACSTD2","Up"
"209555_s_at",-3490.69043488372,3209.09092209302,-7.77821374147707,1.56481082917823e-11,9.17596834383642e-09,-4.2887103497515,"CD36","Down"
"203323_at",-2423.98404651163,2988.65586046512,-7.75076575638246,1.77623890508466e-11,1.01487003902568e-08,-4.29001735654306,"CAV2","Down"
"216594_x_at",-3178.2268372093,3546.5968372093,-7.73436072719978,1.91594941846183e-11,1.06732752228963e-08,-4.29079995500528,"AKR1C1","Down"
"209493_at",-1408.60718604651,1473.63554651163,-7.70848736528312,2.15886136385324e-11,1.17331482367663e-08,-4.29203640464167,"PDZD2","Down"
"209612_s_at",-3487.21151162791,3259.70791860465,-7.61593112259074,3.30719090637238e-11,1.7546222611118e-08,-4.29648106033592,"ADH1B","Down"
"204719_at",-1622.61916046512,1418.88930348837,-7.60557683098284,3.46864510787064e-11,1.79748416136468e-08,-4.29698036102119,"ABCA8","Down"
"208510_s_at",-472.701227906976,412.631390697674,-7.59927134914179,3.57078556447656e-11,1.80835942575525e-08,-4.29728462473,"PPARG","Down"
"221928_at",-1101.25405348837,960.353368604651,-7.59342520562227,3.66815782371705e-11,1.81639023968638e-08,-4.2975668607933,"ACACB","Down"
"214505_s_at",-1082.32279302326,931.983210465116,-7.57867026048129,3.9258268599217e-11,1.88388315790094e-08,-4.29827977574312,"FHL1","Down"
"218723_s_at",-996.805720930233,1152.39806976744,-7.5760438810399,3.97354523274891e-11,1.88388315790094e-08,-4.29840676242116,"RGCC","Down"
"214456_x_at",-2811.6537627907,2017.05874651163,-7.56428802743086,4.19431005014149e-11,1.94712105931881e-08,-4.2989754881908,"SAA2","Down"
"214414_x_at",-4092.50253488372,3677.67687209302,-7.54162232017262,4.65498606031427e-11,2.11687866085679e-08,-4.30007350641293,"HBA1","Down"
"209613_s_at",-2698.82099069767,2681.78387674419,-7.49142321522215,5.86235485390448e-11,2.54027970864725e-08,-4.30251231759112,"ADH1B","Down"
"209763_at",-1684.42890697674,2434.91605813953,-7.48907060640499,5.92601912142231e-11,2.54027970864725e-08,-4.30262684791391,"CHRDL1","Down"
"208383_s_at",-1305.60742790698,1021.54155116279,-7.48899629189038,5.92804132521011e-11,2.54027970864725e-08,-4.30263046605284,"PCK1","Down"
"219737_s_at",-724.808288372093,662.460041860465,-7.47899272251116,6.20661459334889e-11,2.60947156572817e-08,-4.30311769818755,"PCDH9","Down"
"204042_at",-1623.20409302326,2460.111,-7.41081329461936,8.4850465930968e-11,3.50133876359215e-08,-4.30644841580487,"WASF3","Down"
"212097_at",-3009.10439534884,3553.78208139535,-7.35778375852215,1.08173511882636e-10,4.38260066414687e-08,-4.30905093726693,"CAV1","Down"
"266_s_at",2370.62861860465,1587.79612093023,7.33014055599081,1.22755759673324e-10,4.8845832014298e-08,-4.3104116586666,"CD24","Up"
"211696_x_at",-5028.4016744186,4896.9703255814,-7.30169230548528,1.3980432974525e-10,5.46536821002352e-08,-4.31181490012681,"HBB","Down"
"210517_s_at",-1623.21828837209,1851.26548372093,-7.2641977212845,1.65917864091799e-10,6.37439269923715e-08,-4.31366880502932,"AKAP12","Down"
"203853_s_at",-617.210697674419,958.555,-7.25539077326574,1.72723374556672e-10,6.52338128007852e-08,-4.31410498874375,"GAB2","Down"
"203324_s_at",-1050.49335581395,1106.52660116279,-7.23154597149618,1.92573714625435e-10,7.15186680499762e-08,-4.31528733564883,"CAV2","Down"
"218736_s_at",-1390.53306976744,1330.78272093023,-7.19714973965989,2.25264698537463e-10,8.22880865165621e-08,-4.31699640363761,"PALMD","Down"
"202931_x_at",-535.328162790698,541.63261627907,-7.1896201667761,2.33126072004216e-10,8.33982129301275e-08,-4.31737108262779,"BIN1","Down"
"209160_at",-1615.71163023256,1240.85659651163,-7.18712668203213,2.35789050603511e-10,8.33982129301275e-08,-4.31749520441231,"AKR1C3","Down"
"203414_at",-1863.25706976744,2604.74555813953,-7.18085047912153,2.42626408266003e-10,8.44756914904897e-08,-4.31780771969107,"MMD","Down"
"202988_s_at",451.951593023256,357.096815116279,7.15832610374126,2.68826923037416e-10,9.21580050160423e-08,-4.31893041538531,"RGS1","Up"
"212419_at",-906.607325581395,1377.41515116279,-7.15158210102865,2.77204996668749e-10,9.33716295986458e-08,-4.3192669014065,"ZCCHC24","Down"
"209116_x_at",-4812.90922325581,3493.39432790698,-7.14879114605344,2.8074761850331e-10,9.33716295986458e-08,-4.31940619940449,"HBB","Down"
"213706_at",-1074.93151860465,767.760673255814,-7.14501126294402,2.85617312139307e-10,9.35942730352966e-08,-4.31959489798029,"GPD1","Down"
"211653_x_at",-2104.62494883721,1612.19717674419,-7.13776588295818,2.95187434171977e-10,9.53284289225242e-08,-4.31995673742528,"AKR1C2","Down"
"209298_s_at",-705.333291627907,572.861137906977,-7.12197757219477,3.17158954284153e-10,1.00960756833054e-07,-4.32074583889514,"ITSN1","Down"
"206488_s_at",-3057.834,3250.79997674419,-7.08018143574067,3.83480937650581e-10,1.20353601882647e-07,-4.32283890119524,"CD36","Down"
"203065_s_at",-1621.52851162791,1445.60809302326,-7.07241373835622,3.97244724599246e-10,1.22941724975625e-07,-4.32322854003077,"CAV1","Down"
"213068_at",-1454.39329534884,1191.4287244186,-7.04380087837537,4.52310844518264e-10,1.38066336279459e-07,-4.32466554093151,"DPT","Down"
"200944_s_at",2014.17088372093,4035.50269767442,7.01803285526494,5.0835351791663e-10,1.51670179023835e-07,-4.3259619914087,"HMGN1","Up"
"32837_at",-1159.20681395349,2115.07394186047,-7.01710697084248,5.10490662244204e-10,1.51670179023835e-07,-4.32600861556379,"AGPAT2","Down"
"213005_s_at",-1171.38767441861,1770.96488372093,-6.99198953993288,5.71995978459326e-10,1.67707715631699e-07,-4.32727450817645,"KANK1","Down"
"209210_s_at",-2567.05088372093,3541.70034883721,-6.98033436727239,6.02981886207999e-10,1.74496693121725e-07,-4.32786261501555,"FERMT2","Down"
"209686_at",-582.505834883721,531.650431395349,-6.96744605811023,6.3918875348297e-10,1.8260311530591e-07,-4.32851345657391,"S100B","Down"
"203680_at",-1709.32489534884,1813.29490813953,-6.92618663502923,7.70241078015681e-10,2.17256733435739e-07,-4.33060058535409,"PRKAR2B","Down"
"209614_at",-735.062065116279,614.269265116279,-6.92066033567437,7.89708323657852e-10,2.19963382200849e-07,-4.3308805477138,"ADH1B","Down"
"218237_s_at",1473.13509302326,1473.85656976744,6.89902353047803,8.7073865149179e-10,2.39539128039402e-07,-4.33197759566753,"SLC38A1","Up"
"205498_at",-1495.48646511628,2059.68681395349,-6.8949263062216,8.86986840458521e-10,2.41033265438259e-07,-4.33218550230374,"GHR","Down"
"218124_at",-1868.91265116279,2336.77953488372,-6.88591523549799,9.23787521959609e-10,2.46558131051004e-07,-4.33264293834038,"RETSAT","Down"
"204134_at",-511.685813953489,620.774046511628,-6.8845609623665,9.29447695924441e-10,2.46558131051004e-07,-4.332711708269,"PDE2A","Down"
"212636_at",-1013.21255813953,1478.7353255814,-6.86133308057413,1.03206132755393e-09,2.70557912492756e-07,-4.33389210570271,"QKI","Down"
"58780_s_at",-693.768109302326,680.599526744186,-6.85191996490152,1.07677658586356e-09,2.78997821660437e-07,-4.33437093739377,"ARHGEF40","Down"
"217232_x_at",-4011.5678372093,3661.96115116279,-6.84705784296652,1.1006204602737e-09,2.81897996738837e-07,-4.33461837323443,"HBB","Down"
"201540_at",-3634.02341860465,5071.8555,-6.82952020199274,1.19105840588371e-09,3.01594937026211e-07,-4.33551147357706,"FHL1","Down"
"220061_at",-456.867334883721,434.288790697674,-6.81818675798392,1.25338395164703e-09,3.13810725781469e-07,-4.33608912465104,"ACSM5","Down"
"201348_at",-3401.82830232558,3742.96256976744,-6.80790620653132,1.31271124667913e-09,3.25012718997233e-07,-4.33661344737121,"GPX3","Down"
"209183_s_at",-959.666981395349,869.487020930233,-6.78972992317358,1.42449546821189e-09,3.48813544155666e-07,-4.33754124154799,"DEPP1","Down"
"202942_at",-606.129251162791,605.540230232558,-6.76437716345376,1.5963383068701e-09,3.86643548825939e-07,-4.33883699930923,"ETFB","Down"
"209512_at",-475.412674418605,454.225995348837,-6.74627964281803,1.73142621245268e-09,4.10558095227638e-07,-4.33976310944929,"HSDL2","Down"
"200878_at",-1858.64489069767,2139.85074069767,-6.74621558712866,1.731923930862e-09,4.10558095227638e-07,-4.33976638909754,"EPAS1","Down"
"204997_at",-834.609779069767,546.451573255814,-6.72678053657315,1.88967571684224e-09,4.4323835787785e-07,-4.34076201516673,"GPD1","Down"
"213348_at",-1354.912,1979.12381395349,-6.71473012715558,1.99455597514654e-09,4.6296552910615e-07,-4.34137988822929,"CDKN1C","Down"
"221747_at",-1471.56879069767,1573.89481395349,-6.68376709286353,2.29124262288673e-09,5.26348034698816e-07,-4.34296939874507,"TNS1","Down"
"206068_s_at",-544.012160465116,578.126426744186,-6.66718567029581,2.46769670343319e-09,5.60967302034818e-07,-4.34382173804888,"ACADL","Down"
"200606_at",1556.09337209302,2617.33703488372,6.66496819203177,2.49229290945775e-09,5.60967302034818e-07,-4.34393578236247,"DSP","Up"
"204223_at",-1132.72453255814,1141.80798953488,-6.66108352664752,2.53596837128091e-09,5.65089832172525e-07,-4.34413560289962,"PRELP","Down"
"203337_x_at",-1109.44859069767,1048.84839534884,-6.64481039966781,2.7273202169782e-09,6.01711647474508e-07,-4.34497312277144,"ITGB1BP1","Down"
"35776_at",-1535.66339534884,2448.31248837209,-6.63162964401564,2.89273918757311e-09,6.31950071732271e-07,-4.34565202816557,"ITSN1","Down"
"221246_x_at",-1100.0503255814,1585.87106976744,-6.61353331701805,3.13614752804873e-09,6.78473547257378e-07,-4.34658490020789,"TNS1","Down"
"209513_s_at",-805.334153488372,837.950290697674,-6.59609859605532,3.38981040996263e-09,7.19886159835608e-07,-4.34748451076966,"HSDL2","Down"
"201539_s_at",-496.414323255814,562.50923372093,-6.59594160207112,3.39218448066862e-09,7.19886159835608e-07,-4.34749261520945,"FHL1","Down"
"205610_at",-606.481946511628,556.304770930233,-6.58876969843842,3.50241228102991e-09,7.36266536398015e-07,-4.34786291845244,"MYOM1","Down"
"211745_x_at",-4373.90390697674,3023.9336744186,-6.58247625359205,3.60205611214733e-09,7.43623358466981e-07,-4.34818797857899,"HBA1","Down"
"205824_at",-122.548379069767,140.874938372093,-6.5818833474174,3.61158702858352e-09,7.43623358466981e-07,-4.34821860800408,"HSPB2","Down"
"201432_at",-2564.8433255814,4080.14391860465,-6.58027765697893,3.63752394529017e-09,7.43623358466981e-07,-4.3483015624038,"CAT","Down"
"217047_s_at",-1214.39639534884,2001.88370930233,-6.57678799787917,3.69453061173479e-09,7.48411142011694e-07,-4.34848187159052,"FAM13A","Down"
"206243_at",-852.265039534883,559.453363953488,-6.57236198507689,3.76810761499439e-09,7.56439116981261e-07,-4.34871060851063,"TIMP4","Down"
"216894_x_at",-292.572097674419,368.547486046512,-6.56267671965246,3.93421290168157e-09,7.82732732930093e-07,-4.3492113259892,"CDKN1C","Down"
"210375_at",-654.089134883721,780.627618604651,-6.5589223876541,4.00053308828945e-09,7.85252427853286e-07,-4.34940548762824,"PTGER3","Down"
"215039_at",-946.411162790698,1091.1991627907,-6.55797977235139,4.01735748217361e-09,7.85252427853286e-07,-4.34945424242339,"LINC01140","Down"
"203986_at",-1001.9833,954.122673255814,-6.54837794058965,4.19277914074593e-09,8.12414761680361e-07,-4.34995101033299,"STBD1","Down"
"214093_s_at",370.939925581396,546.0832,6.52188480557835,4.7171049808898e-09,9.06131468010064e-07,-4.35132292990139,"FUBP1","Up"
"213071_at",-1716.96230465116,1175.85775465116,-6.51101352809219,4.9505875437207e-09,9.42854207151525e-07,-4.35188641352822,"DPT","Down"
"209550_at",-1427.52618604651,2196.26227906977,-6.50212070801576,5.15005596849813e-09,9.7252018471303e-07,-4.35234757438326,"NDN","Down"
"214439_x_at",-762.595930232558,938.64573255814,-6.50022300639265,5.19364098105509e-09,9.7252018471303e-07,-4.35244601087745,"BIN1","Down"
"217028_at",1016.80195348837,1549.86534883721,6.45860444182059,6.24682314736161e-09,1.15929061947678e-06,-4.35460710963846,"CXCR4","Up"
"213933_at",-1568.50988372093,1986.86829069767,-6.45686668638921,6.29512026911502e-09,1.15929061947678e-06,-4.35469743895779,"PTGER3","Down"
"209581_at",-1365.00072093023,993.098779069767,-6.45307108147235,6.40189944248812e-09,1.16929119079478e-06,-4.35489476217907,"PLAAT3","Down"
"208607_s_at",-992.219925581395,807.641355813954,-6.43844517825574,6.83038157391081e-09,1.23740969602809e-06,-4.35565545461614,"SAA2","Down"
"201286_at",676.787197674419,572.646096511628,6.39118110663888,8.4185011985609e-09,1.51281824360913e-06,-4.3581171987923,"SDC1","Up"
"204731_at",-1014.05246744186,1324.06730116279,-6.37846992914242,8.90464583649385e-09,1.57694457902861e-06,-4.35878016591685,"TGFBR3","Down"
"206100_at",-538.032574418605,685.969503488372,-6.37815876754732,8.91688807420925e-09,1.57694457902861e-06,-4.35879639968175,"CPM","Down"
"219689_at",-813.271000000001,1703.54454651163,-6.37058910737235,9.21988801801668e-09,1.61769106067296e-06,-4.35919138969927,"SEMA3G","Down"
"210869_s_at",-794.139513953488,1012.3587244186,-6.33118590813871,1.09693580809049e-08,1.90961098528753e-06,-4.36124960727122,"MCAM","Down"
"202768_at",-1622.04106976744,1317.18395348837,-6.32686226859367,1.11802583396278e-08,1.93123795799943e-06,-4.36147566650678,"FOSB","Down"
"218677_at",657.265255813954,898.593302325581,6.31721026979098,1.16656392466035e-08,1.99958030255436e-06,-4.36198046735853,"S100A14","Up"
"204159_at",-1384.0506627907,1026.45561046512,-6.3099946917249,1.20420502107867e-08,2.04834354845008e-06,-4.36235797865583,"CDKN2C","Down"
"201963_at",-2553.68440697674,2662.54598488372,-6.3051258724987,1.23027976457173e-08,2.07684272681453e-06,-4.36261277520397,"ACSL1","Down"
"212071_s_at",-1953.61925581395,2496.18141860465,-6.28516211709661,1.34315775380034e-08,2.25034467879196e-06,-4.36365806871919,"SPTBN1","Down"
"216834_at",802.766695348837,949.608884883721,6.26878131126145,1.44337451263537e-08,2.40020255709358e-06,-4.36451640643768,"RGS1","Up"
"205609_at",-691.227325581396,1037.77501162791,-6.25716729569456,1.5188705127814e-08,2.50703641750429e-06,-4.36512531704004,"ANGPT1","Down"
"218186_at",507.69218372093,472.260456976744,6.23207802571369,1.6955353840181e-08,2.77805992368201e-06,-4.36644169105471,"RAB25","Up"
"201719_s_at",-1013.65779069767,1273.76408139535,-6.22957906717417,1.7142061031051e-08,2.78814997047379e-06,-4.36657287720546,"EPB41L2","Down"
"201131_s_at",1506.54392093023,1274.15831860465,6.22501928093818,1.74879901658735e-08,2.8238035135229e-06,-4.36681228242491,"CDH1","Up"
"210299_s_at",-1736.53646744186,1641.47948023256,-6.22032081833423,1.78516541049753e-08,2.86178711094363e-06,-4.36705901333201,"FHL1","Down"
"206101_at",-1663.02304651163,2730.96843023256,-6.21447340229389,1.83146968752157e-08,2.91504564621737e-06,-4.367366142403,"ECM2","Down"
"201450_s_at",241.2249,328.409968604651,6.21026591798052,1.86551979354671e-08,2.94818280564549e-06,-4.36758717891947,"TIA1","Up"
"201243_s_at",1036.64058139535,1734.98159302326,6.20425104262646,1.91528518877689e-08,3.0055140747546e-06,-4.36790322739593,"ATP1B1","Up"
"210832_x_at",-908.797441860466,1114.19865116279,-6.19705100626308,1.97658300367182e-08,3.0800139210363e-06,-4.36828164533219,"PTGER3","Down"
"209602_s_at",868.467818604651,652.088337209302,6.18855088701521,2.05144694181972e-08,3.17447168087283e-06,-4.36872852616617,"GATA3","Up"
"212112_s_at",-625.410534883721,730.282779069767,-6.16823199515342,2.24194107646377e-08,3.44532227633395e-06,-4.36979733959358,"STX12","Down"
"201425_at",-2688.52741860465,3175.46543023256,-6.1558314493018,2.36667511917152e-08,3.61209737537665e-06,-4.37045002800152,"ALDH2","Down"
"202193_at",535.198020930233,667.458801162791,6.1518400348131,2.40826313650688e-08,3.65056649461107e-06,-4.37066017447404,"LIMK2","Up"
"219298_at",-475.734769767442,437.747122093023,-6.14193542119292,2.5146055858902e-08,3.78601055881022e-06,-4.37118177995287,"ECHDC3","Down"
"204271_s_at",-432.591976744186,745.366755813953,-6.13722209097307,2.56682616837843e-08,3.83869714832058e-06,-4.37143006279742,"EDNRB","Down"
"207275_s_at",-1441.08934883721,1708.26744186047,-6.13459215455461,2.59642800479068e-08,3.85708034871672e-06,-4.37156861745286,"ACSL1","Down"
"205968_at",619.463148837209,793.041448837209,6.12323065907031,2.72823069409961e-08,4.02603738785573e-06,-4.37216733128809,"KCNS3","Up"
"201005_at",1470.79953953488,1197.09734651163,6.11810748610777,2.78980384779854e-08,4.0898157329273e-06,-4.37243738432227,"CD9","Up"
"218502_s_at",473.77611627907,968.626127906977,6.09655353810132,3.06422918023484e-08,4.46275940020738e-06,-4.37357406452845,"TRPS1","Up"
"33322_i_at",1601.00153488372,2964.46923255814,6.0834935632155,3.24329810458478e-08,4.69288387431576e-06,-4.374263210453,"SFN","Up"
"204326_x_at",-1093.94305813954,1655.20226162791,-6.05841910128732,3.6165292643393e-08,5.19916913530792e-06,-4.37558717842661,"MT1X","Down"
"211458_s_at",-804.296213953489,850.339323255814,-6.0525929743392,3.70914398211433e-08,5.27283375558053e-06,-4.37589496260945,"GABARAPL3","Down"
"212281_s_at",478.628465116279,350.048653488372,6.05205331165926,3.71784019753226e-08,5.27283375558053e-06,-4.37592347499678,"TMEM97","Up"
"202464_s_at",-1464.97851162791,2073.14437209302,-6.05076021582792,3.73875929354989e-08,5.27283375558053e-06,-4.3759917960854,"PFKFB3","Down"
"200911_s_at",-1754.4183255814,3283.82618604651,-6.04597337712878,3.81721408641486e-08,5.34962147720644e-06,-4.3762447348745,"TACC1","Down"
"202912_at",-1572.90730232558,2484.27927906977,-6.04376961411933,3.85387694596456e-08,5.36724624918301e-06,-4.37636119582039,"ADM","Down"
"204653_at",1274.65630232558,1927.03940697674,6.03193503624397,4.05678540667069e-08,5.61474218738155e-06,-4.37698675065708,"TFAP2A","Up"
"202309_at",-596.622744186047,1203.24258139535,-6.0293229650712,4.10297071301442e-08,5.64361088877162e-06,-4.37712485168956,"MTHFD1","Down"
"209016_s_at",546.913834883721,343.955387209302,6.02212631792633,4.23291828341565e-08,5.78663301284361e-06,-4.37750539923887,"KRT7","Up"
"212845_at",-650.917837209303,1176.02770930233,-5.99122265043628,4.83864615497458e-08,6.5431118332709e-06,-4.37914049666539,"SAMD4A","Down"
"221295_at",-664.906325581396,899.015023255814,-5.99091869269355,4.84500943539783e-08,6.5431118332709e-06,-4.37915658651598,"CIDEA","Down"
"201650_at",2249.53403488372,1416.56520581395,5.97733560825245,5.13795082880673e-08,6.89692519989761e-06,-4.37987574839592,"KRT19","Up"
"202976_s_at",-508.851418604651,800.429895348837,-5.96428534708565,5.43582549318799e-08,7.25308380028191e-06,-4.38056696930671,"RHOBTB3","Down"
"210762_s_at",-1180.06251162791,1812.43353488372,-5.94414360749429,5.92929369035032e-08,7.86443162512359e-06,-4.38163430512893,"DLC1","Down"
"1007_s_at",1022.59223255814,2152.66772093023,5.93827540754128,6.08119387427835e-08,8.01818006512098e-06,-4.38194538198307,"DDR1","Up"
"204039_at",-901.225069767442,1230.078,-5.93047318046656,6.28911156415267e-08,8.24354546964787e-06,-4.38235906089213,"CEBPA","Down"
"216331_at",-520.475060465116,448.475381395349,-5.92533898857047,6.4297364474894e-08,8.37858580464364e-06,-4.38263132710001,"ITGA7","Down"
"203296_s_at",-479.231590697675,575.617388372093,-5.88249723723831,7.73058032514017e-08,9.9616958393488e-06,-4.38490467381403,"ATP1A2","Down"
"218665_at",-2375.09488372093,5174.98674418605,-5.88239343247486,7.73402764532308e-08,9.9616958393488e-06,-4.38491018515287,"FZD4","Down"
"207071_s_at",-1370.51165116279,2364.94152325581,-5.88073476742417,7.7893172366344e-08,9.97525034390369e-06,-4.3849982511357,"ACO1","Down"
"214063_s_at",-1023.00907209302,724.080201162791,-5.87490801263509,7.98664959990757e-08,1.01695150305566e-05,-4.38530764884659,"TF","Down"
"221841_s_at",-1649.24478372093,1876.04191046512,-5.87321602304267,8.0448686449224e-08,1.01854436372049e-05,-4.38539750107857,"KLF4","Down"
"212230_at",-975.724655813953,1433.16690465116,-5.86959766144799,8.17077824895766e-08,1.0286409701781e-05,-4.38558966497637,"PLPP3","Down"
"65718_at",-368.473697674419,675.493034883721,-5.84888253126242,8.92987817957713e-08,1.11789031166021e-05,-4.38669013143728,"ADGRA2","Down"
"219935_at",-1181.47679069767,1993.03704651163,-5.84464976229007,9.09332674156625e-08,1.13199217755486e-05,-4.38691505970385,"ADAMTS5","Down"
"203358_s_at",319.760586046512,368.72723255814,5.82973652870187,9.69302761366613e-08,1.19994296841846e-05,-4.38770772329081,"EZH2","Up"
"201890_at",1444.40009302326,1651.40744186047,5.82691929753171,9.81061243027593e-08,1.20778937449635e-05,-4.3878574946376,"RRM2","Up"
"209087_x_at",-782.956534883721,1534.69740697674,-5.81096606604174,1.05034470529063e-07,1.2859797290105e-05,-4.38870579041504,"MCAM","Down"
"210740_s_at",-791.782697674419,911.25811627907,-5.8064654959122,1.07074683780703e-07,1.30379517960951e-05,-4.38894515799133,"ITPK1","Down"
"212915_at",-437.562604651163,642.415790697674,-5.79449205786026,1.12694440665696e-07,1.35984260734993e-05,-4.38958209254942,"PDZRN3","Down"
"201842_s_at",-2361.40988372093,3728.30715116279,-5.79406921914011,1.12898120701763e-07,1.35984260734993e-05,-4.38960458873183,"EFEMP1","Down"
"219563_at",-1257.53776744186,1828.67034883721,-5.78480683993537,1.17451815050722e-07,1.40708537353507e-05,-4.39009742354592,"SYNE3","Down"
"203336_s_at",-672.510325581395,746.27366744186,-5.77552674874507,1.22195439891602e-07,1.45608608936073e-05,-4.39059129690335,"ITGB1BP1","Down"
"213247_at",-649.783023255814,800.229093023256,-5.75173248410649,1.35236876040005e-07,1.60291665361671e-05,-4.39185802059242,"SVEP1","Down"
"209485_s_at",-385.333058139535,624.69398255814,-5.74356480743593,1.40021971796861e-07,1.65085163891506e-05,-4.39229297644414,"OSBPL1A","Down"
"202003_s_at",-934.776627906976,1195.52354651163,-5.74150080258967,1.41257321098307e-07,1.65665099264924e-05,-4.39240290235806,"ACAA2","Down"
